No. overall,Title,Directed by,Written by,Original air date,Prod.,U.S. viewers,season
53,"""The One with Frank Jr.""",Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,"October 17, 1996",465255,23.25[79],3
54,"""The One with the Flashback""",Peter Bonerz,David Crane & Marta Kauffman,"October 31, 1996",465256,23.27[81],3
55,"""The One with the Race Car Bed""",Gail Mancuso,Seth Kurland,"November 7, 1996",465257,27.36[83],3
56,"""The One with the Giant Poking Device""",Gail Mancuso,Adam Chase,"November 14, 1996",465258,28.69[85],3
57,"""The One with the Football""",Kevin S. Bright,Ira Ungerleider,"November 21, 1996",465259,29.28[87],3
58,"""The One Where Rachel Quits""",Terry Hughes,Gregory S. Malins & Michael Curtis,"December 12, 1996",465260,25.10[89],3
59,"""The One Where Chandler Can't Remember Which Sister""",Terry Hughes,Alexa Junge,"January 9, 1997",465261,29.80[91],3
60,"""The One with All the Jealousy""",Robby Benson,Doty Abrams,"January 16, 1997",465262,29.61[93],3
61,"""The One Where Monica and Richard Are Just Friends""",Robby Benson,Michael Borkow,"January 30, 1997",465265,28.03[95],3
62,"""The One with Phoebe's Ex-Partner""",Robby Benson,Wil Calhoun,"February 6, 1997",465266,28.91[97],3
63,"""The One Where Ross and Rachel Take a Break""",James Burrows,Michael Borkow,"February 13, 1997",465263,27.25[99],3
64,"""The One with the Morning After""",James Burrows,David Crane & Marta Kauffman,"February 20, 1997",465264,28.26[101],3
65,"""The One Without the Ski Trip""",Sam Simon,Shana Goldberg-Meehan & Scott Silveri,"March 6, 1997",465267,25.84[103],3
66,"""The One with the Hypnosis Tape""",Robby Benson,Seth Kurland,"March 13, 1997",465269,28.07[105],3
67,"""The One with the Tiny T-Shirt""",Terry Hughes,Adam Chase,"March 27, 1997",465268,23.65[107],3
68,"""The One with the Dollhouse""",Terry Hughes,Wil Calhoun,"April 10, 1997",465270,24.36[109],3
69,"""The One with a Chick and a Duck""",Michael Lembeck,Chris Brown,"April 17, 1997",465271,23.22[111],3
